id,depot_name,category,depot_status,address,latitude,longitude,district_id,province_id
15160,Vinhomes Skylake,bike_charging_station,Available,"Vinhomes Skylake, ô đất E1.3, khu đô thị mới Cầu Giấy",21.01984,105.78083,1693.0,1680.0
15161,Vincom Plaza Imperia,bike_charging_station,Maintaining,"Hầm B1, cột G8, Vincom Imperia Hải Phòng",20.862921,106.661491,1909.0,1908.0
15162,Vinhomes Gardenia,bike_charging_station,Available,"Tòa A1, Vinhomes Gardenia, số 16, đường Hàm Nghi",21.03562,105.761292,1693.0,1680.0
15163,"Vinhomes Ocean Park, hầm PK4, CT02 PK3",bike_charging_station,Available,"Hầm tòa S1.01 , S1.03, Vinhomes Ocean Park",20.991619,105.939507,1692.0,1680.0
15164,Vincom Plaza Đồng Hới,bike_charging_station,Available,Đường Quách Xuân Kỳ,17.465219,106.626259,,2034.0
15165,"Vinpearl Hòn Tre, bãi xe CBNV",bike_charging_station,Maintaining,Bãi xe Cán bộ nhân viên Vinpearl Hòn Tre,12.198982,109.214333,2129.0,2128.0
15166,"Siêu thị Big C, Go! Buôn Ma Thuột",bike_charging_station,Maintaining,"Góc đường Nguyễn Thị Định, vành đai phía Tây",12.683917,108.018478,2187.0,2186.0
15167,"Vinhomes Ocean Park, hầm S1.05, S1.07, CT01 PK3",bike_charging_station,Available,"Hầm S1.05, S1.07, Tòa CT01, PK3,Vinhomes Ocean Park",21.00116,105.943207,1692.0,1680.0
15168,"Vinhomes Ocean Park, tòa CT04-PK3",bike_charging_station,Available,"Hầm tòa chung cư S1.8, S1.9 Vinhomes Ocean Park",20.99547,105.940483,1692.0,1680.0
15169,Vincom Plaza Bảo Lộc,bike_charging_station,Available,"Số 83, đường Lê Hồng Phong",11.543899,107.810974,2213.0,2211.0
15170,Vincom Plaza Lê Thánh Tôn,bike_charging_station,Available,"Hầm B1, Vincom Plaza Lê Thánh Tôn, số 44-46, đường Lê Thánh Tôn",12.242969,109.193367,2129.0,2128.0
15171,"VinFast Hải Phòng, khu văn phòng (Nhà  tròn)",bike_charging_station,Maintaining,"Khu kinh tế Đình Vũ, Đảo Cát Hải",20.798059,106.859673,1922.0,1908.0
15172,"Siêu thị Lan Chi Lý Nhân, Hà Nam",bike_charging_station,Maintaining,Đường Trần Hưng Đạo,20.561029,106.034019,1950.0,1944.0
15173,Vincom Plaza Sơn La,bike_charging_station,Available,"Hầm B1, Vincom Plaza Sơn La",21.323429,103.91716,1782.0,1781.0
15174,"Vinhomes Ocean Park, hầm S1 10-12, B3CT05 PK3",bike_charging_station,Available,"Hầm S1.10-S1.12, Vinhomes Ocean Park",20.990129,105.940887,1692.0,1680.0
15175,Vinmec Times City,bike_charging_station,Available,"Hầm B2, bệnh viện Vinmec Times city, số 458, đường Minh Khai",20.99637,105.867203,1687.0,1680.0
15176,Vincom Plaza Phủ Lý,bike_charging_station,Available,"Hầm B2, cột 03A, Vincom plaza, số 42, đường Biên Hoà",20.543489,105.917519,1945.0,1944.0
15177,Vincom+ Chí Linh,bike_charging_station,Available,"Đường km4, khu dân cư Nguyễn Trãi 1",21.11042,106.389839,1897.0,1895.0
15178,Vincom+ Nam Đàn,bike_charging_station,Available,"Bãi đỗ xe Vincom+ Nam Đàn, khối Nam Bắc Sơn",18.706059,105.494881,2018.0,1999.0
15179,"Vinhomes Symphony, khu cư dân",bike_charging_station,Available,"Hần tòa S6,Vinhomes Symphony, đường Chu Huy Mân",21.049459,105.917809,1684.0,1680.0
15180,"Vinhomes Ocean Park, hầm B2 CT01, PK3",bike_charging_station,Available,Hầm toà S2.01 đến S2.03 Vinhomes Ocean Park,20.99094,105.940781,1692.0,1680.0
15181,Vincom Plaza Việt Trì,bike_charging_station,Available,Phố Đoàn Kết,21.31266,105.395721,1863.0,1862.0
15182,Vincom+ thị xã Phú Thọ,bike_charging_station,Maintaining,"Hầm B1, Vincom+ thị xã Phú Thọ, thửa đất số 134",21.402109,105.21347,1864.0,1862.0
15183,"Siêu thị Big C, Go! Quy Nhơn",bike_charging_station,Available,Khu đô thị xanh Vũng Chua,13.75443,109.207916,2107.0,2106.0
15184,Vinpearl Luxury Đà Nẵng,bike_charging_station,Maintaining,"Số 7, đường Trường Sa",16.005501,108.266083,2069.0,2064.0
15185,"Vincom Plaza Hòa Bình, trong hầm",bike_charging_station,Available,"Hầm Vincom Plaza Hòa Bình, số 332, đường Cù Chính Lan",20.825741,105.351257,1805.0,1804.0
15186,Vincom Phan Rang,bike_charging_station,Available,"Số 122, đường 16/4",11.56389,109.009087,2139.0,2138.0
15187,Vincom Plaza Tuy Hòa,bike_charging_station,Available,"Hầm B1, Góc Đông Bắc ngã tư đường Hùng Vương và Trần Phú",13.101414,109.30883,2119.0,2118.0
15188,Vincom+ Uông Bí,bike_charging_station,Available,Khu đô thị Yên Thanh,21.033751,106.752342,1841.0,1837.0
15189,Vincom Plaza Buôn Ma Thuột,bike_charging_station,Available,"Số 78, đường Lý Thường Kiệt",12.681804,108.043991,2187.0,2186.0
15190,Vincom+ Tĩnh Gia,bike_charging_station,Maintaining,"Vincom+ Tĩnh Gia, thôn Nam Yến",19.436319,105.772141,1998.0,1971.0
15191,"Vinpearl Condotel Riverfront, hầm B1",bike_charging_station,Available,"Hầm B1, khách Sạn Vinpearl Condotel RiverFront Đà Nẵng, số 341, đường Trần Hưng Đạo",16.0709,108.229401,2068.0,2064.0
15192,Vinpearl Resort & Spa Đà Nẵng,bike_charging_station,Maintaining,"Số 23, đường Trường Sa",15.99362,108.269241,2069.0,2064.0
15193,"Siêu thị Big C, GO! Thái Bình",bike_charging_station,Available,"Tổ 1, đường Trần Thái Tông",20.44104,106.322189,1936.0,1935.0
15194,Vinwonders Nam Hội An,bike_charging_station,Maintaining,Đường Võ Chí Công,15.785338,108.408249,2085.0,2073.0
15195,Vincom Plaza KonTum,bike_charging_station,Available,"Số 2, đường Phan Đình Phùng",14.348753,108.000656,2158.0,2157.0
15196,Vinmec Hạ Long,bike_charging_station,Available,"Số 10A, đường Lê Thánh Tông",20.951941,107.071999,1838.0,1837.0
15197,Vincom Ninh Hòa,bike_charging_station,Available,"Vincom Ninh Hòa, đường 2/4",12.489082,109.132149,2133.0,2128.0
15198,Vincom Plaza Ngô Quyền,bike_charging_station,Available,"Số 910A, đường Ngô Quyền",16.071308,108.230698,2068.0,2064.0
15199,Tòa nhà SomerSet West Point,bike_charging_station,Maintaining,"Hầm B3, tòa SomerSet West Point, số 2, đường Tây Hồ",21.066683,105.826782,1683.0,1680.0
15200,"Vinhomes Ocean Park, B2CT04-PK2",bike_charging_station,Available,Hầm S2-19 Vinhomes Ocean Park,20.989639,105.942436,1692.0,1680.0
15201,Vincom Plaza Tuyên Quang,bike_charging_station,Available,"Hầm Vincom Plaza Tuyên Quang, số 260, đường Quang Trung",21.818911,105.205391,1744.0,1743.0
15202,Vincom Plaza Bắc Kạn,bike_charging_station,Available,"Hầm Vincom Plaza Bắc Kạn, số 48, đường Trường Chinh",22.14806,105.836563,,1734.0
