id,connector_count
15160,32
15161,24
15162,54
15163,64
15164,24
15165,24
15167,60
15168,86
15169,24
15170,20
15173,24
15174,130
15175,40
15176,12
15177,20
15178,6
15179,112
15180,156
15181,18
15182,24
15183,20
15184,24
15185,44
15186,10
15187,24
15188,10
15189,24
15190,8
15191,24
15192,24
15193,12
15194,24
15195,24
15196,24
15197,8
15198,24
15199,8
15200,16
15201,20
15202,26
15203,20
15205,16
15206,64
15207,12
15208,12
15209,24
15211,18
15212,24
15213,148
15214,20
15215,44
15216,44
15217,24
15218,154
15219,124
15220,56
15221,8
15222,72
15223,30
15224,30
15226,16
15227,14
15228,48
15229,28
15230,14
15231,22
15232,64
15233,78
15234,62
15235,112
15236,10
15237,94
15238,38
15241,6
15242,24
15243,20
15245,24
15246,24
15247,24
15248,24
15249,8
15250,6
15251,6
15252,24
15253,8
15254,8
15255,8
15256,8
15257,8
15258,8
15259,8
15260,24
15261,24
15262,24
15264,16
15265,8
15267,24
15268,24
15269,24
15270,16
15271,24
15272,16
15273,28
15274,24
15275,12
15276,108
15277,8
15278,34
15279,16
15280,22
15281,24
15282,12
15283,16
15284,8
15285,24
15286,10
15287,24
15288,16
15289,24
15290,6
15291,16
15292,16
15293,6
15294,22
15295,24
15296,24
15297,24
15298,32
15299,24
15300,24
15301,10
15302,8
15303,10
15304,8
15306,126
15307,28
15308,8
15309,24
15310,24
15311,16
15312,16
15313,10
15314,24
15315,16
15316,60
15317,16
15318,24
15319,24
15320,26
15321,84
15322,50
15323,16
15324,16
15325,20
15326,8
15327,8
15328,12
15329,20
15330,8
15331,24
15333,8
15334,8
15335,16
15336,30
15337,8
15338,36
15339,24
15340,14
15341,48
15342,20
15343,16
15344,12
15345,30
15346,16
15347,12
15348,8
15349,16
15350,16
15351,24
15352,16
15354,8
15355,68
15356,126
15357,440
15358,6
15359,444
15361,16
15362,224
15364,26
15366,48
15367,26
15368,80
15369,116
15370,60
15371,56
15372,84
15373,116
15374,64
15375,70
15376,116
15377,64
15388,82
15390,182
15391,100
15393,162
15394,318
15396,100
15397,120
15398,156
15399,148
15400,110
15401,96
15407,106
15408,106
15409,50
15410,74
15411,16
15413,90
15414,30
15417,116
15418,70
15420,184
15421,100
15422,22
15423,54
15424,104
15425,114
15426,112
15427,68
15428,156
15429,128
15430,92
15431,120
15432,56
15433,130
15434,212
15435,118
15436,826
15437,150
15438,608
15439,370
15440,152
15441,32
15443,212
15444,34
15445,62
15454,174
15455,16
15457,106
15458,54
15459,96
15460,28
15461,132
15462,44
15465,28
15466,70
15467,92
15468,84
15469,86
15471,98
15472,116
15473,40
15475,168
15477,280
15478,368
15481,8
15482,160
15490,1202
15491,446
15494,16
15496,64
15500,24
15506,142
15507,12
15508,20
15509,84
15510,8
15511,14
15513,20
15515,24
15516,16
15518,30
15519,8
15520,44
15521,52
15523,36
15524,56
15525,4
15526,80
15527,34
15528,598
15529,12
15531,120
15532,172
15533,142
15536,150
15537,12
15538,16
15539,10
15540,10
15542,48
15543,24
15544,2556
15546,100
15547,212
15548,40
15549,310
15550,96
15551,24
15552,22
15553,154
15554,192
15555,176
15557,68
15558,304
15560,100
15562,24
15563,76
15564,32
15565,4
15566,44
15567,64
15568,14
15569,8
15570,8
15571,8
15572,12
15573,48
15574,8
15575,4
15576,6
15577,4
15578,4
15579,74
15580,12
15581,16
15582,12
15584,8
15585,8
15586,24
15587,12
15588,8
15589,12
15590,8
15592,90
15593,4
15594,8
15595,4
15596,80
15597,16
15599,8
15600,8
15601,4
15602,20
15605,124
15606,8
15608,4
15609,12
15610,8
15618,40
15620,12
15626,8
15627,12
15628,20
15629,12
15630,8
15631,12
15632,12
15634,16
15636,12
15637,8
15639,8
15644,12
15648,4
15649,8
15658,20
15659,12
15660,8
15661,4
15663,20
15664,16
15668,8
15669,8
15670,12
15672,16
15673,8
15674,16
15678,4
15689,24
15691,4
15692,8
15693,20
15697,12
15700,12
15706,3
15707,3
15708,6
15709,4
15710,5
15711,4
15712,8
15713,8
15714,3
15715,10
15716,15
15717,8
15718,5
15719,7
15720,3
15721,5
15722,4
15723,4
15724,4
15725,2
15726,1
15727,2
15728,10
15729,6
15730,2
15731,12
15732,13
15733,6
15734,9
15735,11
15736,12
15737,11
15738,10
15739,7
15740,9
15741,10
15742,7
15743,2
15744,7
15745,19
15746,2
15747,2
15748,3
15749,4
15750,2
15751,2
15752,9
15753,9
15754,10
15755,5
15756,10
15757,10
15758,4
15759,9
15760,8
15761,7
15762,4
15763,2
15764,5
15765,8
15766,2
15767,4
15768,4
15770,2
15771,3
15772,9
15773,10
15774,11
15775,12
15776,3
15777,4
15778,3
15779,3
15780,8
15781,4
15782,4
15783,2
15784,8
15785,4
15786,4
15787,7
15788,5
15789,5
15790,3
15791,4
15792,6
15793,5
15794,8
15795,12
15796,2
15797,2
15798,8
15799,5
15800,3
15801,2
15802,7
15803,1
15804,2
15805,11
15807,2
15808,3
15809,3
15810,10
15811,8
15814,3
15815,8
15816,1
15817,8
15818,7
15819,4
15820,10
15821,2
15822,1
15823,1
15824,8
15825,8
15826,3
15827,7
15828,4
15829,10
15830,6
15831,6
15832,9
15834,2
15835,6
15836,6
15837,6
15838,8
15839,10
15840,8
15841,2
15842,7
15843,3
15844,8
15845,3
15846,5
15847,4
15848,8
15849,2
15850,2
15851,2
15852,5
15853,2
15854,2
15855,2
15857,4
15858,9
15859,2
15860,4
15861,5
15862,6
15863,4
15864,4
15865,6
15866,3
15867,5
15868,7
15869,2
15870,3
15871,10
15872,6
15873,2
15874,4
15875,2
15877,2
15879,8
15881,6
15882,9
15883,10
15884,6
15885,2
15886,9
15887,3
15889,2
15890,2
15891,4
15892,8
15894,5
15896,8
15898,4
15899,3
15900,10
15902,3
15903,2
15904,5
15905,3
15906,10
15909,2
15910,6
15911,7
15913,2
15914,6
15915,4
15916,9
15917,8
15918,4
15920,3
15921,2
15922,6
